         0,     1.127,    15.968,         9,         3,         2,        14,        12
        10,     2.301,    66.507,         7,         1,         1,         9,        12
        20,     2.870,   103.492,         5,         3,         1,         9,        12
        30,     3.289,   135.917,         5,         2,         1,         8,        12
        40,     3.676,   169.769,         7,         2,         4,        13,        12
        50,     4.029,   204.010,         8,         2,         3,        13,        12
        60,     4.326,   235.117,         9,         1,         1,        11,        12
        70,     4.586,   264.284,         7,         1,         1,         9,        12
        80,     4.816,   291.506,         5,         2,         1,         8,        12
        90,     5.011,   315.518,         6,         2,         1,         9,        12
       100,     5.267,   348.593,         5,         1,         1,         7,        12
